Sr. No.,Content ID,User ID,Category,Type,Datetime,Sentiments,Score
1,5118e9c5-1377-4cc5-a486-65b35b7b7b76,ef56931b-540b-4166-9090-73ae48ac8d97,Science,Heart,7/19/20 19:28,Positive,60
2,9f737e0a-3cdd-4d29-9d24-753f4e3be810,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,Healthy Eating,Dislike,11/29/20 21:33,Negative,10
3,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,425b7021-0409-4358-af39-2bff14197d0a,Fitness,Dislike,9/22/20 4:09,Negative,10
4,356fff80-da4d-4785-9f43-bc1261031dc6,9fb4ce88-fac1-406c-8544-1a899cee7aaf,Technology,Want,11/13/20 0:33,Positive,70
5,46fb701d-6c26-458e-ada3-2ebe5dbba01f,4fe1900d-5e78-41a3-88ed-18e6889c6c77,Public Speaking,Want,12/1/20 15:06,Positive,70
6,230c4e4d-70c3-461d-b42c-ec09396efb3f,a5c65404-5894-4b87-82f2-d787cbee86b4,Healthy Eating,Love,5/5/21 16:26,Positive,65
7,e6ee2244-9382-49a9-8cbf-fa54aaaa2392,740a4abd-187d-4783-990b-161c52fb5f86,Travel,Disgust,1/5/21 13:15,Negative,0
8,01ab84dd-6364-4236-abbb-3f237db77180,e206e31b-5f85-4964-b6ea-d7ee5324def1,Food,Worried,8/4/20 19:26,Negative,12
9,0bedca96-fb76-4287-a83c-17330ed39cce,2bd9c167-e06c-47c1-a978-3403d6724606,Soccer,Worried,9/26/20 18:43,Negative,12
10,3f8590c7-6ab2-4973-805a-90cdec355f05,ae600af5-c1f0-4b1f-adb0-1b4c246373e4,Dogs,Like,5/22/21 21:03,Positive,50
11,f332d362-dc48-46c2-a64b-641157c0987e,05782669-264e-4c14-990e-14c8dbb13bef,Soccer,Like,10/5/20 13:55,Positive,50
12,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,583f2bde-886d-4cf3-a5c4-7cb60cd25df3,Technology,Scared,12/27/20 17:04,Negative,15
13,0be59876-d70c-486c-8e0b-a06bef7a2cd6,72d2587e-8fae-4626-a73d-352e6465ba0f,Tennis,Scared,11/7/20 0:47,Negative,15
14,81abd65a-3b76-4574-a0a7-db6bf7184ae2,4793cc6d-be60-42cc-bfd4-7ce8fd4d0eab,Food,Super Love,9/22/20 2:08,Positive,75
15,b18cb63f-4c8e-44ee-a47f-541e95191d11,13f0db8a-152a-496f-a6e8-1ed6a90b8788,Public Speaking,Adore,1/30/21 9:36,Positive,72
16,a2e93b29-9259-4092-a4d7-62d5e823bb74,d0ea9a00-4ea9-4c81-b16a-a20b72f824ea,Public Speaking,Adore,8/31/20 0:39,Positive,72
17,9b3a6d30-48e8-476c-82be-9031524bd04d,3d13e0d3-e765-4065-9221-3f864689b9e0,Food,Disgust,2/15/21 20:35,Negative,0
18,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,a90c3ed2-7c64-47c3-9da5-b10d05f6f9f2,Tennis,Adore,4/12/21 17:12,Positive,72
19,baa2db00-81ba-4c34-b17d-dd950bfa133b,2f112802-2501-45b5-a9d9-470cda6ef23e,Soccer,Intrigued,8/1/20 23:38,Positive,45
20,f98dde71-ce1d-4f6c-bb05-ae05779d2207,11f207c2-0113-47e5-aa9a-df2c7b91ac75,Soccer,Hate,3/27/21 8:58,Negative,5
21,388bd9db-9d10-4f47-87c4-6db46e83bc95,76cb4dbe-7748-49ab-8179-6e3f3b840dd6,Education,Cherish,9/7/20 15:21,Positive,70
22,78d0075f-895c-4a15-a35c-a921e2bb2cea,34fcadd6-fa9b-4404-981a-c70c86cde556,Studying,Super Love,8/2/20 18:35,Positive,75
23,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,7719b807-bf22-4b36-8f69-44d9a87d239b,Travel,Like,8/9/20 7:58,Positive,50
24,a4067fb5-3ba8-4f97-87c2-ddad5e4029c2,e2377b94-f06a-49ed-a266-377c4b07e980,Food,Adore,5/2/21 1:43,Positive,72
25,809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,10f311c3-f547-4260-8c0e-a155008b7936,Dogs,Heart,1/8/21 19:20,Positive,60
26,34a3747a-0b77-42f6-ae19-87c38b94b674,5b62e10e-3c19-4d28-a57c-e9bdc3d6758d,Science,Like,6/14/21 17:44,Positive,50
27,2920dccb-e06f-49fc-8049-b6d4164dfe84,f8926cfa-7036-4929-b5db-925c26daea1a,Veganism,Heart,1/25/21 6:02,Positive,60
28,f4e3840e-bb71-40c2-afc5-9408d842646d,d9aab962-e964-4afd-83ee-abda0865da67,Healthy Eating,Love,5/27/21 20:53,Positive,65
29,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,f0ef81ec-85b1-4475-ae60-aa7d373088aa,Food,Adore,4/29/21 9:59,Positive,72
30,74718bbf-e5a3-442f-8ca2-4a3428757fc1,e2377b94-f06a-49ed-a266-377c4b07e980,Dogs,Peeking,5/10/21 11:45,Neutral,35
31,89fd8f89-807f-4076-b7e7-84db361e11c1,0c347562-ce55-450b-91ab-0707662b36f5,Studying,Adore,12/9/20 23:38,Positive,72
32,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,568e7c6f-b1e9-4a85-897c-aaaaa0ce8832,Cooking,Dislike,5/8/21 7:39,Negative,10
33,eec5e521-4c28-4e8a-93a9-d544803fad7e,cad2d54d-9555-4dfe-bfcd-7a584895a002,Food,Cherish,11/23/20 18:07,Positive,70
